22.07.2026                                                       การแสดงรายการแบบไดนามิก                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------
|  วัสดุ        |คำอธิบายวัสดุ                           |Plnt|ใบสั่ง|โครงข่าย  |        องค์ประกอบ WBS|MvT|ปม.ต้องการ|RemovedQty|ปริมาณต่าง|วันต้องการ|
|  1-04-000-0300|S.A. 250-500 V. 2.5-5.0 KA              |D060|      |6000980433|P-SEZ02.0-D-NPND0.2042|581|        1 |        0 |        1 |02.09.2025|
|  1-06-005-0001|METER,WATTHOUR,1 P,2 W 5(15)A.,O/D      |D060|      |6000980433|P-SEZ02.0-D-NPND0.2042|581|       15 |        0 |       15 |02.09.2025|
|  1-02-007-0002|CABLE,AL,750 V,50 SQ.MM. TIS.293        |D060|      |6000980433|P-SEZ02.0-D-NPND0.2042|581|    1,590 |        0 |    1,590 |02.09.2025|
|  1-02-001-0002|COND.,AL,BARE 50/7 SQ.MM.TIS.85         |D060|      |6000980433|P-SEZ02.0-D-NPND0.2042|581|      666 |        0 |      666 |02.09.2025|
|  1-00-001-0006|POLE 14 M.                              |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|       92 |        0 |       92 |02.09.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      169 |        0 |      169 |02.09.2025|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|       14 |        0 |       14 |02.09.2025|
|  1-01-010-0002|ST. WIRE, STRANDED 25 SQ.MM.TIS.404     |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|    2,700 |        0 |    2,700 |02.09.2025|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      360 |        0 |      360 |02.09.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|       20 |        0 |       20 |02.09.2025|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      188 |        0 |      188 |02.09.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|        1 |        0 |        1 |02.09.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      176 |        0 |      176 |02.09.2025|
|  1-01-011-0206|BOLT,MACHINE M.16X400 MM.               |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|        4 |        0 |        4 |02.09.2025|
|  1-01-012-0001|BOLT,DOUBLE ARMING,M.16X450 MM.         |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|        8 |        0 |        8 |02.09.2025|
|  1-01-013-0001|BOLT,DOUBLE ARMING,ROUND EYE M.16X450MM.|D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|       24 |        0 |       24 |02.09.2025|
|  1-01-013-0002|BOLT,DOUBLE ARMING,ROUND EYE M.16X500MM.|D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|        3 |        0 |        3 |02.09.2025|
|  1-01-016-0001|BOLT,STUB M.24X800 MM.                  |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|       33 |        0 |       33 |02.09.2025|
|  1-01-018-0001|NUT,EYE M.16 DIN 582                    |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|       24 |        0 |       24 |02.09.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|    1,050 |        0 |    1,050 |02.09.2025|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      552 |        0 |      552 |02.09.2025|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      180 |        0 |      180 |02.09.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      380 |        0 |      380 |02.09.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      201 |        0 |      201 |02.09.2025|
|  1-02-006-0004|PIC,22 KV. 185 SQ.MM.                   |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|   15,780 |        0 |   15,780 |02.09.2025|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      578 |        0 |      578 |02.09.2025|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      156 |        0 |      156 |02.09.2025|
|  1-04-000-0000|S.A., 21 KV. 5 KA.                      |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|        3 |        0 |        3 |02.09.2025|
|  1-04-005-0001|D.SW.,1 POLE 22 KV. 600A. 40 KA.STATION |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|        3 |        0 |        3 |02.09.2025|
|  1-02-005-0004|CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM.     |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|      270 |        0 |      270 |02.09.2025|
|  1-00-011-0004|CROSSARM (FOR D/E) 120X120X2,500 MM.    |D060|      |6000980436|P-SEZ02.0-D-NPND0.2043|581|        8 |        0 |        8 |02.09.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|       76 |        0 |       76 |02.09.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|       72 |        0 |       72 |02.09.2025|
|  1-02-031-0001|CONNECTOR,D/E,AL 50-70 SQ.MM.           |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|       10 |        0 |       10 |02.09.2025|
|  1-03-003-0000|INSULATOR,SPOOL,CLASS 53-2 TIS.227      |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|       94 |        0 |       94 |02.09.2025|
|  1-03-013-0000|RACK, 2X200 MM. EXT.BACK                |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|       27 |        0 |       27 |02.09.2025|
|  1-03-013-0002|RACK, 4X200 MM. EXT.BACK                |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|       10 |        0 |       10 |02.09.2025|
|  1-02-007-0002|CABLE,AL,750 V,50 SQ.MM. TIS.293        |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|    1,500 |        0 |    1,500 |02.09.2025|
|  1-02-001-0002|COND.,AL,BARE 50/7 SQ.MM.TIS.85         |D060|      |6000980446|P-SEZ02.0-D-NPND0.2043|581|      300 |        0 |      300 |02.09.2025|
|  1-02-033-0006|HOTLINE BAIL-CLAMP,MAIN 70-185 SQ.MM.   |D060|      |6001305586|P-TDD02.4-D-NPND0.9607|581|        3 |        0 |        3 |21.07.2026|
|  1-02-033-0104|HOTLINE CLAMP,MAIN35-185,TAP50-185SQ.MM.|D060|      |6001305586|P-TDD02.4-D-NPND0.9607|581|        3 |        0 |        3 |21.07.2026|
|  1-03-001-0001|INSULATORLINE-POST, 22 KV.CLASS 57-2L   |D060|      |6001305586|P-TDD02.4-D-NPND0.9607|581|        1 |        0 |        1 |21.07.2026|
|  1-00-001-0004|POLE 12 M.                              |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|        5 |        0 |        5 |28.04.2025|
|  1-00-001-0006|POLE 14 M.                              |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|        1 |        0 |        1 |28.04.2025|
|  1-00-001-0012|POLE 12.2 M.                            |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       14 |        0 |       14 |28.04.2025|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       12 |        0 |       12 |28.04.2025|
|  1-01-000-0100|ST. CHANNEL, 100X50X5 MM. 2.25 M.LONG   |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       14 |        0 |       14 |28.04.2025|
|  1-01-001-0003|ST. ANG.,OHGW. BAYONET 2.25 M.LONG      |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|        6 |        0 |        6 |28.04.2025|
|  1-01-010-0002|ST. WIRE, STRANDED 25 SQ.MM.TIS.404     |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|  460.800 |        0 |  460.800 |28.04.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       24 |        0 |       24 |28.04.2025|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|        4 |        0 |        4 |28.04.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |28.04.2025|
|  1-01-011-0206|BOLT,MACHINE M.16X400 MM.               |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       36 |        0 |       36 |28.04.2025|
|  1-01-013-0001|BOLT,DOUBLE ARMING,ROUND EYE M.16X450MM.|D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       12 |        0 |       12 |28.04.2025|
|  1-01-013-0002|BOLT,DOUBLE ARMING,ROUND EYE M.16X500MM.|D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|        6 |        0 |        6 |28.04.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|      120 |        0 |      120 |28.04.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       24 |        0 |       24 |28.04.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       36 |        0 |       36 |28.04.2025|
|  1-01-023-0201|GW SUPPORT AND CLAMP,FOR POLE           |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       18 |        0 |       18 |28.04.2025|
|  1-02-005-0004|CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM.     |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|    1,900 |        0 |    1,900 |28.04.2025|
|  1-02-044-0112|BRACKET,SAC CORNER SUPPORT, 22-33 KV    |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       18 |        0 |       18 |28.04.2025|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       58 |        0 |       58 |28.04.2025|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|       54 |        0 |       54 |28.04.2025|
|  1-04-001-0002|DROPOUT,FUSE,22 KV.100 A.12 KA          |D060|      |7000961805|  I-67-D-NPN67.HB.1003|581|        6 |        0 |        6 |28.04.2025|
|  1-00-001-0004|POLE 12 M.                              |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        1 |        0 |        1 |16.09.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        1 |        0 |        1 |16.09.2025|
|  1-01-010-0004|ST. WIRE, STRANDED 50/7 SQ.MM.TIS.404   |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|       20 |        0 |       20 |16.09.2025|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        4 |        0 |        4 |16.09.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        3 |        0 |        3 |16.09.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        1 |        0 |        1 |16.09.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        6 |        0 |        6 |16.09.2025|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        3 |        0 |        3 |16.09.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-02-005-0000|CABLE,AERIAL,AL 22 KV. 1X50 SQ.MM.      |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        9 |        0 |        9 |16.09.2025|
|  1-02-030-0102|CONN.,PG,DOUBLE BOLT,AL 25-95 SQ.MM.    |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-02-033-0005|HOTLINE BAIL-CLAMP,MAIN 35-70 SQ.MM.    |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-02-033-0104|HOTLINE CLAMP,MAIN35-185,TAP50-185SQ.MM.|D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-02-042-0400|PIN TERMINAL,FOR AL.CONDUCTOR 50 SQ.MM. |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-03-003-0000|INSULATOR,SPOOL,CLASS 53-2 TIS.227      |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-04-000-0007|S.A., 21 KV.5 KA.,WITHOUT BRACKET       |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-04-001-0002|DROPOUT,FUSE,22 KV.100 A.12 KA          |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-04-003-0002|FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K    |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-05-010-0003|BRACKET,ST.,FOR TR. SECONDARY LEAD      |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |16.09.2025|
|  1-05-000-0001|TR., 20 KVA. 1 P 3 W, 22/0.46-0.23 KV.  |D060|      |7000961807|  I-67-D-NPN67.HB.1003|581|        1 |        0 |        1 |16.09.2025|
|  1-00-001-0001|POLE 8 M.                               |D060|      |7000961808|  I-67-D-NPN67.HB.1003|581|        2 |        0 |        2 |28.04.2025|
|  1-02-001-0002|COND.,AL,BARE 50/7 SQ.MM.TIS.85         |D060|      |7000961808|  I-67-D-NPN67.HB.1003|581|      460 |        0 |      460 |28.04.2025|
|  1-02-007-0002|CABLE,AL,750 V,50 SQ.MM. TIS.293        |D060|      |7000961808|  I-67-D-NPN67.HB.1003|581|      460 |        0 |      460 |28.04.2025|
|  1-03-013-0000|RACK, 2X200 MM. EXT.BACK                |D060|      |7000961808|  I-67-D-NPN67.HB.1003|581|       15 |        0 |       15 |28.04.2025|
|  1-06-005-0001|METER,WATTHOUR,1 P,2 W 5(15)A.,O/D      |D060|      |7000961810|  I-67-D-NPN67.HB.1003|581|       10 |        0 |       10 |28.04.2025|
|  1-00-001-0004|POLE 12 M.                              |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        2 |        0 |        2 |10.03.2026|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        2 |        0 |        2 |10.03.2026|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|       10 |        0 |       10 |10.03.2026|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        4 |        0 |        4 |10.03.2026|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|       18 |        0 |       18 |10.03.2026|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        4 |        0 |        4 |10.03.2026|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        2 |        0 |        2 |10.03.2026|
|  1-01-013-0001|BOLT,DOUBLE ARMING,ROUND EYE M.16X450MM.|D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-01-013-0002|BOLT,DOUBLE ARMING,ROUND EYE M.16X500MM.|D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|       12 |        0 |       12 |10.03.2026|
|  1-01-018-0001|NUT,EYE M.16 DIN 582                    |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|       79 |        0 |       79 |10.03.2026|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        6 |        0 |        6 |10.03.2026|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        2 |        0 |        2 |10.03.2026|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|       22 |        0 |       22 |10.03.2026|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-02-002-0002|COND.,ACSR 50/8 SQ.MM.TIS.86            |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|      210 |        0 |      210 |10.03.2026|
|  1-02-030-0102|CONN.,PG,DOUBLE BOLT,AL 25-95 SQ.MM.    |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        9 |        0 |        9 |10.03.2026|
|  1-02-033-0006|HOTLINE BAIL-CLAMP,MAIN 70-185 SQ.MM.   |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-02-033-0104|HOTLINE CLAMP,MAIN35-185,TAP50-185SQ.MM.|D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|       14 |        0 |       14 |10.03.2026|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|       48 |        0 |       48 |10.03.2026|
|  1-04-001-0002|DROPOUT,FUSE,22 KV.100 A.12 KA          |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-04-003-0004|FUSE LINK 22 KV. 8 A.EEI-NEMA TYPE K    |D060|      |6001385180|P-SEZ02.0-D-NPND0.1061|581|        3 |        0 |        3 |10.03.2026|
|  1-00-001-0004|POLE 12 M.                              |D060|      |6001385183|P-SEZ02.0-D-NPND0.1062|581|        2 |        0 |        2 |12.03.2026|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |6001385183|P-SEZ02.0-D-NPND0.1062|581|        2 |        0 |        2 |12.03.2026|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |6001385183|P-SEZ02.0-D-NPND0.1062|581|        6 |        0 |        6 |12.03.2026|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |6001385183|P-SEZ02.0-D-NPND0.1062|581|        4 |        0 |        4 |12.03.2026|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |6001385183|P-SEZ02.0-D-NPND0.1062|581|       10 |        0 |       10 |12.03.2026|
